station_id,bike_sold_weekday,bike_sold_weekend
2,8600,1884
3,3822,1548
4,1913,292
5,676,100
6,5085,1822
7,2240,1082
8,524,190
9,1649,736
10,3859,1194
11,3677,1077
12,11102,4401
13,2548,858
14,3088,1303
16,3369,1593
21,11048,4486
22,2645,985
23,1022,442
24,6791,2575
25,4835,1838
26,407,189
27,2322,349
28,6385,1653
29,1499,336
30,8107,3018
31,1668,336
32,1285,163
33,829,217
34,5078,1744
35,3865,1777
36,6151,2357
37,4319,1584
38,969,337
39,9279,2120
41,6493,619
42,7448,1447
45,7295,637
46,3170,745
47,4912,669
48,6643,1006
49,5676,800
50,20974,5225
51,15911,3553
54,10774,3142
55,14214,1062
56,9193,1330
57,7975,1239
58,2437,573
59,3505,533
60,15943,5084
61,19117,3680
62,8926,1270
63,7365,566
64,12890,2080
65,16301,1234
66,5851,1160
67,10604,1488
68,6843,1150
69,28338,3451
70,35630,4525
71,10221,2860
72,7907,1358
73,7963,1596
74,13284,1286
75,6650,507
76,9282,1908
77,13352,1384
80,2982,976
82,8679,872
83,1251,542
84,1414,456