start_station_id,start_station_name,end_station_id,end_station_name,total_trips_subscriber
2,San Jose Diridon Caltrain Station,84,Ryland Park,244
2,San Jose Diridon Caltrain Station,16,SJSU - San Salvador at 9th,91
2,San Jose Diridon Caltrain Station,2,San Jose Diridon Caltrain Station,42
2,San Jose Diridon Caltrain Station,3,San Jose Civic Center,246
2,San Jose Diridon Caltrain Station,4,Santa Clara at Almaden,1223
2,San Jose Diridon Caltrain Station,80,Santa Clara County Civic Center,7
2,San Jose Diridon Caltrain Station,5,Adobe on Almaden,260
2,San Jose Diridon Caltrain Station,6,San Pedro Square,656
2,San Jose Diridon Caltrain Station,7,Paseo de San Antonio,488
2,San Jose Diridon Caltrain Station,8,San Salvador at 1st,84
2,San Jose Diridon Caltrain Station,9,Japantown,306
2,San Jose Diridon Caltrain Station,10,San Jose City Hall,212
2,San Jose Diridon Caltrain Station,11,MLK Library,446
2,San Jose Diridon Caltrain Station,12,SJSU 4th at San Carlos,121
2,San Jose Diridon Caltrain Station,13,St James Park,308
2,San Jose Diridon Caltrain Station,14,Arena Green / SAP Center,4
3,San Jose Civic Center,2,San Jose Diridon Caltrain Station,184
3,San Jose Civic Center,3,San Jose Civic Center,7
3,San Jose Civic Center,4,Santa Clara at Almaden,25
3,San Jose Civic Center,5,Adobe on Almaden,17
3,San Jose Civic Center,6,San Pedro Square,10
3,San Jose Civic Center,7,Paseo de San Antonio,19
3,San Jose Civic Center,8,San Salvador at 1st,2
3,San Jose Civic Center,9,Japantown,2
3,San Jose Civic Center,10,San Jose City Hall,50
3,San Jose Civic Center,11,MLK Library,32
3,San Jose Civic Center,12,SJSU 4th at San Carlos,12
3,San Jose Civic Center,13,St James Park,3
3,San Jose Civic Center,14,Arena Green / SAP Center,9
3,San Jose Civic Center,84,Ryland Park,12
3,San Jose Civic Center,16,SJSU - San Salvador at 9th,13
4,Santa Clara at Almaden,84,Ryland Park,4
4,Santa Clara at Almaden,16,SJSU - San Salvador at 9th,13
4,Santa Clara at Almaden,2,San Jose Diridon Caltrain Station,1192
4,Santa Clara at Almaden,3,San Jose Civic Center,19
4,Santa Clara at Almaden,4,Santa Clara at Almaden,54
4,Santa Clara at Almaden,5,Adobe on Almaden,9
4,Santa Clara at Almaden,6,San Pedro Square,11
4,Santa Clara at Almaden,7,Paseo de San Antonio,31
4,Santa Clara at Almaden,8,San Salvador at 1st,23
4,Santa Clara at Almaden,9,Japantown,9
4,Santa Clara at Almaden,10,San Jose City Hall,6
4,Santa Clara at Almaden,11,MLK Library,12
4,Santa Clara at Almaden,12,SJSU 4th at San Carlos,184
4,Santa Clara at Almaden,13,St James Park,1
4,Santa Clara at Almaden,14,Arena Green / SAP Center,260
5,Adobe on Almaden,2,San Jose Diridon Caltrain Station,292
5,Adobe on Almaden,3,San Jose Civic Center,6
5,Adobe on Almaden,4,Santa Clara at Almaden,13
5,Adobe on Almaden,5,Adobe on Almaden,11
5,Adobe on Almaden,6,San Pedro Square,16
5,Adobe on Almaden,7,Paseo de San Antonio,26
5,Adobe on Almaden,8,San Salvador at 1st,12
5,Adobe on Almaden,9,Japantown,3
5,Adobe on Almaden,10,San Jose City Hall,4
5,Adobe on Almaden,11,MLK Library,15
5,Adobe on Almaden,12,SJSU 4th at San Carlos,42
5,Adobe on Almaden,13,St James Park,6
5,Adobe on Almaden,14,Arena Green / SAP Center,3
5,Adobe on Almaden,84,Ryland Park,2
5,Adobe on Almaden,16,SJSU - San Salvador at 9th,5
5,Adobe on Almaden,80,Santa Clara County Civic Center,4
6,San Pedro Square,2,San Jose Diridon Caltrain Station,590
6,San Pedro Square,3,San Jose Civic Center,11
6,San Pedro Square,4,Santa Clara at Almaden,10
6,San Pedro Square,5,Adobe on Almaden,15
6,San Pedro Square,6,San Pedro Square,19
6,San Pedro Square,7,Paseo de San Antonio,24
6,San Pedro Square,8,San Salvador at 1st,21
6,San Pedro Square,9,Japantown,90
6,San Pedro Square,10,San Jose City Hall,36
6,San Pedro Square,11,MLK Library,19
6,San Pedro Square,12,SJSU 4th at San Carlos,14
6,San Pedro Square,13,St James Park,86
6,San Pedro Square,14,Arena Green / SAP Center,49
6,San Pedro Square,84,Ryland Park,95
6,San Pedro Square,16,SJSU - San Salvador at 9th,10
6,San Pedro Square,80,Santa Clara County Civic Center,63
7,Paseo de San Antonio,84,Ryland Park,20
7,Paseo de San Antonio,16,SJSU - San Salvador at 9th,79
7,Paseo de San Antonio,2,San Jose Diridon Caltrain Station,272
7,Paseo de San Antonio,3,San Jose Civic Center,7
7,Paseo de San Antonio,4,Santa Clara at Almaden,26
7,Paseo de San Antonio,5,Adobe on Almaden,20
7,Paseo de San Antonio,6,San Pedro Square,32
7,Paseo de San Antonio,7,Paseo de San Antonio,13
7,Paseo de San Antonio,8,San Salvador at 1st,37
7,Paseo de San Antonio,9,Japantown,34
7,Paseo de San Antonio,10,San Jose City Hall,21
7,Paseo de San Antonio,11,MLK Library,41
7,Paseo de San Antonio,12,SJSU 4th at San Carlos,12
7,Paseo de San Antonio,13,St James Park,30
7,Paseo de San Antonio,14,Arena Green / SAP Center,11
8,San Salvador at 1st,2,San Jose Diridon Caltrain Station,110
8,San Salvador at 1st,3,San Jose Civic Center,2
8,San Salvador at 1st,4,Santa Clara at Almaden,7
8,San Salvador at 1st,5,Adobe on Almaden,2
8,San Salvador at 1st,6,San Pedro Square,35
8,San Salvador at 1st,7,Paseo de San Antonio,41
8,San Salvador at 1st,8,San Salvador at 1st,23
8,San Salvador at 1st,9,Japantown,29
8,San Salvador at 1st,10,San Jose City Hall,23
8,San Salvador at 1st,11,MLK Library,43
8,San Salvador at 1st,12,SJSU 4th at San Carlos,8
8,San Salvador at 1st,13,St James Park,23
8,San Salvador at 1st,14,Arena Green / SAP Center,10
8,San Salvador at 1st,84,Ryland Park,13
8,San Salvador at 1st,16,SJSU - San Salvador at 9th,23
8,San Salvador at 1st,80,Santa Clara County Civic Center,1
9,Japantown,2,San Jose Diridon Caltrain Station,285
9,Japantown,3,San Jose Civic Center,4
9,Japantown,4,Santa Clara at Almaden,9
9,Japantown,5,Adobe on Almaden,9
9,Japantown,6,San Pedro Square,101
9,Japantown,7,Paseo de San Antonio,7
9,Japantown,8,San Salvador at 1st,27
9,Japantown,9,Japantown,31
9,Japantown,10,San Jose City Hall,34
9,Japantown,11,MLK Library,53
9,Japantown,12,SJSU 4th at San Carlos,16
9,Japantown,13,St James Park,25
9,Japantown,14,Arena Green / SAP Center,8
9,Japantown,84,Ryland Park,64
9,Japantown,16,SJSU - San Salvador at 9th,4
9,Japantown,80,Santa Clara County Civic Center,9
10,San Jose City Hall,2,San Jose Diridon Caltrain Station,290
10,San Jose City Hall,3,San Jose Civic Center,67
10,San Jose City Hall,4,Santa Clara at Almaden,9
10,San Jose City Hall,5,Adobe on Almaden,15
10,San Jose City Hall,6,San Pedro Square,27
10,San Jose City Hall,7,Paseo de San Antonio,32
10,San Jose City Hall,8,San Salvador at 1st,53
10,San Jose City Hall,9,Japantown,51
10,San Jose City Hall,10,San Jose City Hall,64
10,San Jose City Hall,11,MLK Library,20
10,San Jose City Hall,12,SJSU 4th at San Carlos,26
10,San Jose City Hall,13,St James Park,18
10,San Jose City Hall,14,Arena Green / SAP Center,5
10,San Jose City Hall,84,Ryland Park,7
10,San Jose City Hall,16,SJSU - San Salvador at 9th,35
10,San Jose City Hall,80,Santa Clara County Civic Center,7
11,MLK Library,2,San Jose Diridon Caltrain Station,659
11,MLK Library,3,San Jose Civic Center,24
11,MLK Library,4,Santa Clara at Almaden,9
11,MLK Library,5,Adobe on Almaden,6
11,MLK Library,6,San Pedro Square,19
11,MLK Library,7,Paseo de San Antonio,20
11,MLK Library,8,San Salvador at 1st,22
11,MLK Library,9,Japantown,95
11,MLK Library,10,San Jose City Hall,12
11,MLK Library,11,MLK Library,21
11,MLK Library,12,SJSU 4th at San Carlos,15
11,MLK Library,13,St James Park,21
11,MLK Library,14,Arena Green / SAP Center,4
11,MLK Library,84,Ryland Park,11
11,MLK Library,16,SJSU - San Salvador at 9th,19
11,MLK Library,80,Santa Clara County Civic Center,6
12,SJSU 4th at San Carlos,2,San Jose Diridon Caltrain Station,67
12,SJSU 4th at San Carlos,3,San Jose Civic Center,23
12,SJSU 4th at San Carlos,4,Santa Clara at Almaden,109
12,SJSU 4th at San Carlos,5,Adobe on Almaden,14
12,SJSU 4th at San Carlos,6,San Pedro Square,18
12,SJSU 4th at San Carlos,7,Paseo de San Antonio,14
12,SJSU 4th at San Carlos,8,San Salvador at 1st,13
12,SJSU 4th at San Carlos,9,Japantown,13
12,SJSU 4th at San Carlos,10,San Jose City Hall,3
12,SJSU 4th at San Carlos,11,MLK Library,14
12,SJSU 4th at San Carlos,12,SJSU 4th at San Carlos,10
12,SJSU 4th at San Carlos,13,St James Park,46
12,SJSU 4th at San Carlos,14,Arena Green / SAP Center,2
12,SJSU 4th at San Carlos,16,SJSU - San Salvador at 9th,6
12,SJSU 4th at San Carlos,84,Ryland Park,7
12,SJSU 4th at San Carlos,80,Santa Clara County Civic Center,2
13,St James Park,2,San Jose Diridon Caltrain Station,325
13,St James Park,3,San Jose Civic Center,1
13,St James Park,4,Santa Clara at Almaden,4
13,St James Park,5,Adobe on Almaden,13
13,St James Park,6,San Pedro Square,81
13,St James Park,7,Paseo de San Antonio,34
13,St James Park,8,San Salvador at 1st,47
13,St James Park,9,Japantown,46
13,St James Park,10,San Jose City Hall,21
13,St James Park,11,MLK Library,43
13,St James Park,12,SJSU 4th at San Carlos,57
13,St James Park,13,St James Park,23
13,St James Park,14,Arena Green / SAP Center,12
13,St James Park,84,Ryland Park,5
13,St James Park,16,SJSU - San Salvador at 9th,6
13,St James Park,80,Santa Clara County Civic Center,18
14,Arena Green / SAP Center,2,San Jose Diridon Caltrain Station,13
14,Arena Green / SAP Center,3,San Jose Civic Center,4
14,Arena Green / SAP Center,4,Santa Clara at Almaden,242
14,Arena Green / SAP Center,5,Adobe on Almaden,3
14,Arena Green / SAP Center,6,San Pedro Square,72
14,Arena Green / SAP Center,7,Paseo de San Antonio,28
14,Arena Green / SAP Center,8,San Salvador at 1st,2
14,Arena Green / SAP Center,9,Japantown,13
14,Arena Green / SAP Center,10,San Jose City Hall,3
14,Arena Green / SAP Center,11,MLK Library,3
14,Arena Green / SAP Center,12,SJSU 4th at San Carlos,6
14,Arena Green / SAP Center,13,St James Park,11
14,Arena Green / SAP Center,14,Arena Green / SAP Center,28
14,Arena Green / SAP Center,84,Ryland Park,23
14,Arena Green / SAP Center,16,SJSU - San Salvador at 9th,1
14,Arena Green / SAP Center,80,Santa Clara County Civic Center,39
16,SJSU - San Salvador at 9th,2,San Jose Diridon Caltrain Station,115
16,SJSU - San Salvador at 9th,3,San Jose Civic Center,9
16,SJSU - San Salvador at 9th,4,Santa Clara at Almaden,8
16,SJSU - San Salvador at 9th,5,Adobe on Almaden,6
16,SJSU - San Salvador at 9th,6,San Pedro Square,6
16,SJSU - San Salvador at 9th,7,Paseo de San Antonio,105
16,SJSU - San Salvador at 9th,8,San Salvador at 1st,34
16,SJSU - San Salvador at 9th,9,Japantown,5
16,SJSU - San Salvador at 9th,10,San Jose City Hall,43
16,SJSU - San Salvador at 9th,11,MLK Library,22
16,SJSU - San Salvador at 9th,12,SJSU 4th at San Carlos,7
16,SJSU - San Salvador at 9th,13,St James Park,12
16,SJSU - San Salvador at 9th,14,Arena Green / SAP Center,3
16,SJSU - San Salvador at 9th,16,SJSU - San Salvador at 9th,11
16,SJSU - San Salvador at 9th,80,Santa Clara County Civic Center,2
21,Franklin at Maple,21,Franklin at Maple,4
21,Franklin at Maple,23,San Mateo County Center,5
21,Franklin at Maple,22,Redwood City Caltrain Station,33
21,Franklin at Maple,24,Redwood City Public Library,10
21,Franklin at Maple,26,Redwood City Medical Center,1
23,San Mateo County Center,38,Park at Olive,1
23,San Mateo County Center,21,Franklin at Maple,4
23,San Mateo County Center,83,Mezes Park,4
23,San Mateo County Center,23,San Mateo County Center,35
23,San Mateo County Center,37,Cowper at University,1
23,San Mateo County Center,22,Redwood City Caltrain Station,18
23,San Mateo County Center,25,Stanford in Redwood City,8
23,San Mateo County Center,24,Redwood City Public Library,20
23,San Mateo County Center,26,Redwood City Medical Center,10
22,Redwood City Caltrain Station,34,Palo Alto Caltrain Station,11
22,Redwood City Caltrain Station,38,Park at Olive,2
22,Redwood City Caltrain Station,21,Franklin at Maple,56
22,Redwood City Caltrain Station,36,California Ave Caltrain Station,1
22,Redwood City Caltrain Station,23,San Mateo County Center,71
22,Redwood City Caltrain Station,83,Mezes Park,110
22,Redwood City Caltrain Station,22,Redwood City Caltrain Station,27
22,Redwood City Caltrain Station,25,Stanford in Redwood City,289
22,Redwood City Caltrain Station,24,Redwood City Public Library,17
22,Redwood City Caltrain Station,26,Redwood City Medical Center,192
25,Stanford in Redwood City,34,Palo Alto Caltrain Station,18
25,Stanford in Redwood City,21,Franklin at Maple,1
25,Stanford in Redwood City,23,San Mateo County Center,6
25,Stanford in Redwood City,22,Redwood City Caltrain Station,300
25,Stanford in Redwood City,25,Stanford in Redwood City,32
25,Stanford in Redwood City,24,Redwood City Public Library,1
25,Stanford in Redwood City,26,Redwood City Medical Center,1
24,Redwood City Public Library,21,Franklin at Maple,11
24,Redwood City Public Library,23,San Mateo County Center,18
24,Redwood City Public Library,22,Redwood City Caltrain Station,41
24,Redwood City Public Library,25,Stanford in Redwood City,1
24,Redwood City Public Library,24,Redwood City Public Library,5
24,Redwood City Public Library,26,Redwood City Medical Center,2
27,Mountain View City Hall,32,Castro Street and El Camino Real,36
27,Mountain View City Hall,33,Rengstorff Avenue / California Street,34
27,Mountain View City Hall,27,Mountain View City Hall,27
27,Mountain View City Hall,29,San Antonio Caltrain Station,9
27,Mountain View City Hall,28,Mountain View Caltrain Station,1271
27,Mountain View City Hall,31,San Antonio Shopping Center,23
27,Mountain View City Hall,30,Evelyn Park and Ride,25
26,Redwood City Medical Center,21,Franklin at Maple,2
26,Redwood City Medical Center,83,Mezes Park,1
26,Redwood City Medical Center,23,San Mateo County Center,23
26,Redwood City Medical Center,22,Redwood City Caltrain Station,102
26,Redwood City Medical Center,25,Stanford in Redwood City,1
26,Redwood City Medical Center,24,Redwood City Public Library,3
26,Redwood City Medical Center,26,Redwood City Medical Center,2
29,San Antonio Caltrain Station,34,Palo Alto Caltrain Station,1
29,San Antonio Caltrain Station,33,Rengstorff Avenue / California Street,77
29,San Antonio Caltrain Station,38,Park at Olive,5
29,San Antonio Caltrain Station,36,California Ave Caltrain Station,6
29,San Antonio Caltrain Station,27,Mountain View City Hall,7
29,San Antonio Caltrain Station,29,San Antonio Caltrain Station,10
29,San Antonio Caltrain Station,28,Mountain View Caltrain Station,30
29,San Antonio Caltrain Station,31,San Antonio Shopping Center,731
29,San Antonio Caltrain Station,30,Evelyn Park and Ride,1
28,Mountain View Caltrain Station,32,Castro Street and El Camino Real,905
28,Mountain View Caltrain Station,33,Rengstorff Avenue / California Street,150
28,Mountain View Caltrain Station,38,Park at Olive,3
28,Mountain View Caltrain Station,36,California Ave Caltrain Station,1
28,Mountain View Caltrain Station,27,Mountain View City Hall,1394
28,Mountain View Caltrain Station,29,San Antonio Caltrain Station,24
28,Mountain View Caltrain Station,28,Mountain View Caltrain Station,61
28,Mountain View Caltrain Station,31,San Antonio Shopping Center,87
28,Mountain View Caltrain Station,30,Evelyn Park and Ride,562
31,San Antonio Shopping Center,34,Palo Alto Caltrain Station,2
31,San Antonio Shopping Center,35,University and Emerson,67
31,San Antonio Shopping Center,32,Castro Street and El Camino Real,9
31,San Antonio Shopping Center,33,Rengstorff Avenue / California Street,30
31,San Antonio Shopping Center,38,Park at Olive,3
31,San Antonio Shopping Center,36,California Ave Caltrain Station,9
31,San Antonio Shopping Center,37,Cowper at University,1
31,San Antonio Shopping Center,27,Mountain View City Hall,18
31,San Antonio Shopping Center,29,San Antonio Caltrain Station,720
31,San Antonio Shopping Center,28,Mountain View Caltrain Station,89
31,San Antonio Shopping Center,31,San Antonio Shopping Center,19
31,San Antonio Shopping Center,30,Evelyn Park and Ride,2
30,Evelyn Park and Ride,32,Castro Street and El Camino Real,9
30,Evelyn Park and Ride,33,Rengstorff Avenue / California Street,3
30,Evelyn Park and Ride,27,Mountain View City Hall,54
30,Evelyn Park and Ride,29,San Antonio Caltrain Station,1
30,Evelyn Park and Ride,28,Mountain View Caltrain Station,771
30,Evelyn Park and Ride,31,San Antonio Shopping Center,1
30,Evelyn Park and Ride,30,Evelyn Park and Ride,9
34,Palo Alto Caltrain Station,34,Palo Alto Caltrain Station,26
34,Palo Alto Caltrain Station,35,University and Emerson,19
34,Palo Alto Caltrain Station,38,Park at Olive,224
34,Palo Alto Caltrain Station,36,California Ave Caltrain Station,172
34,Palo Alto Caltrain Station,22,Redwood City Caltrain Station,3
34,Palo Alto Caltrain Station,37,Cowper at University,342
34,Palo Alto Caltrain Station,25,Stanford in Redwood City,14
34,Palo Alto Caltrain Station,29,San Antonio Caltrain Station,6
34,Palo Alto Caltrain Station,28,Mountain View Caltrain Station,2
34,Palo Alto Caltrain Station,31,San Antonio Shopping Center,2
35,University and Emerson,34,Palo Alto Caltrain Station,14
35,University and Emerson,35,University and Emerson,25
35,University and Emerson,33,Rengstorff Avenue / California Street,1
35,University and Emerson,38,Park at Olive,9
35,University and Emerson,36,California Ave Caltrain Station,30
35,University and Emerson,22,Redwood City Caltrain Station,1
35,University and Emerson,37,Cowper at University,42
35,University and Emerson,29,San Antonio Caltrain Station,1
35,University and Emerson,31,San Antonio Shopping Center,45
32,Castro Street and El Camino Real,32,Castro Street and El Camino Real,32
32,Castro Street and El Camino Real,33,Rengstorff Avenue / California Street,4
32,Castro Street and El Camino Real,27,Mountain View City Hall,35
32,Castro Street and El Camino Real,29,San Antonio Caltrain Station,1
32,Castro Street and El Camino Real,28,Mountain View Caltrain Station,988
32,Castro Street and El Camino Real,31,San Antonio Shopping Center,18
32,Castro Street and El Camino Real,30,Evelyn Park and Ride,3
33,Rengstorff Avenue / California Street,32,Castro Street and El Camino Real,5
33,Rengstorff Avenue / California Street,33,Rengstorff Avenue / California Street,13
33,Rengstorff Avenue / California Street,38,Park at Olive,2
33,Rengstorff Avenue / California Street,36,California Ave Caltrain Station,1
33,Rengstorff Avenue / California Street,27,Mountain View City Hall,29
33,Rengstorff Avenue / California Street,29,San Antonio Caltrain Station,108
33,Rengstorff Avenue / California Street,28,Mountain View Caltrain Station,192
33,Rengstorff Avenue / California Street,31,San Antonio Shopping Center,26
33,Rengstorff Avenue / California Street,30,Evelyn Park and Ride,2
38,Park at Olive,34,Palo Alto Caltrain Station,155
38,Park at Olive,35,University and Emerson,17
38,Park at Olive,33,Rengstorff Avenue / California Street,2
38,Park at Olive,38,Park at Olive,6
38,Park at Olive,36,California Ave Caltrain Station,32
38,Park at Olive,37,Cowper at University,11
38,Park at Olive,29,San Antonio Caltrain Station,3
38,Park at Olive,28,Mountain View Caltrain Station,9
38,Park at Olive,31,San Antonio Shopping Center,1
39,Powell Street BART,68,Yerba Buena Center of the Arts (3rd @ Howard),38
39,Powell Street BART,69,San Francisco Caltrain 2 (330 Townsend),1995
39,Powell Street BART,70,San Francisco Caltrain (Townsend at 4th),832
39,Powell Street BART,71,Powell at Post (Union Square),51
39,Powell Street BART,64,2nd at South Park,72
39,Powell Street BART,65,Townsend at 7th,461
39,Powell Street BART,66,South Van Ness at Market,320
39,Powell Street BART,67,Market at 10th,986
39,Powell Street BART,76,Market at 4th,112
39,Powell Street BART,77,Market at Sansome,425
39,Powell Street BART,72,Civic Center BART (7th at Market),286
39,Powell Street BART,73,Grant Avenue at Columbus Avenue,67
39,Powell Street BART,74,Steuart at Market,151
39,Powell Street BART,75,Mechanics Plaza (Market at Battery),139
39,Powell Street BART,82,Broadway St at Battery St,68
39,Powell Street BART,31,San Antonio Shopping Center,1
39,Powell Street BART,39,Powell Street BART,65
39,Powell Street BART,42,Davis at Jackson,19
39,Powell Street BART,41,Clay at Battery,53
39,Powell Street BART,46,Washington at Kearney,226
39,Powell Street BART,47,Post at Kearney,106
39,Powell Street BART,45,Commercial at Montgomery,75
39,Powell Street BART,51,Embarcadero at Folsom,26
39,Powell Street BART,50,Harry Bridges Plaza (Ferry Building),130
39,Powell Street BART,49,Spear at Folsom,35
39,Powell Street BART,48,Embarcadero at Vallejo,15
39,Powell Street BART,55,Temporary Transbay Terminal (Howard at Beale),167
39,Powell Street BART,54,Embarcadero at Bryant,31
39,Powell Street BART,59,Golden Gate at Polk,121
